Jahr;Jahr segment;Monat;;Sonnenflecken
1763;1.763.123;2;;  85.9
1763;1.763.204;3;;  83.0
1763;1.763.288;4;;  81.3
1763;1.763.371;5;;  78.6
1763;1.763.455;6;;  76.3
1763;1.763.538;7;;  75.4
1763;1.763.623;8;;  77.6
1763;1.763.707;9;;  79.9
1763;1.763.790;10;;  80.4
1763;1.763.874;11;;  81.3
1763;1.763.958;12;;  81.7
1764;1.764.042;1;;  79.7
1764;1.764.124;2;;  78.2
1764;1.764.206;3;;  75.7
1764;1.764.290;4;;  71.7
1764;1.764.373;5;;  68.0
1764;1.764.456;6;;  63.1
1764;1.764.540;7;;  58.1
1764;1.764.624;8;;  53.3
1764;1.764.708;9;;  49.9
1764;1.764.791;10;;  48.0
1764;1.764.874;11;;  45.4
1764;1.764.958;12;;  43.1
1765;1.765.042;1;;  42.2
1765;1.765.123;2;;  41.9
1765;1.765.204;3;;  41.1
1765;1.765.288;4;;  39.2
1765;1.765.371;5;;  37.4
1765;1.765.455;6;;  35.7
1765;1.765.538;7;;  34.0
1765;1.765.623;8;;  32.1
1765;1.765.707;9;;  31.9
1765;1.765.790;10;;  31.6
1765;1.765.874;11;;  30.9
1765;1.765.958;12;;  30.2
1766;1.766.042;1;;  27.4
1766;1.766.123;2;;  24.0
1766;1.766.204;3;;  21.4
1766;1.766.288;4;;  19.9
1766;1.766.371;5;;  18.7
1766;1.766.455;6;;  18.6
1766;1.766.538;7;;  20.1
1766;1.766.623;8;;  22.5
1766;1.766.707;9;;  24.2
1766;1.766.790;10;;  26.6
1766;1.766.874;11;;  28.6
1766;1.766.958;12;;  30.9
1767;1.767.042;1;;  34.3
1767;1.767.123;2;;  38.2
1767;1.767.204;3;;  43.4
1767;1.767.288;4;;  48.8
1767;1.767.371;5;;  54.9
1767;1.767.455;6;;  60.7
1767;1.767.538;7;;  64.9
1767;1.767.623;8;;  69.2
1767;1.767.707;9;;  71.9
1767;1.767.790;10;;  72.8
1767;1.767.874;11;;  76.8
1767;1.767.958;12;;  83.2
1768;1.768.042;1;;  88.4
1768;1.768.124;2;;  92.4
1768;1.768.206;3;;  96.4
1768;1.768.290;4;; 101.0
1768;1.768.373;5;; 105.8
1768;1.768.456;6;; 112.4
1768;1.768.540;7;; 117.8
1768;1.768.624;8;; 119.1
1768;1.768.708;9;; 120.2
1768;1.768.791;10;; 125.2
1768;1.768.874;11;; 128.7
1768;1.768.958;12;; 129.6
1769;1.769.042;1;; 135.4
1769;1.769.123;2;; 143.7
1769;1.769.204;3;; 152.5
1769;1.769.288;4;; 163.2
1769;1.769.371;5;; 172.8
1769;1.769.455;6;; 176.8
1769;1.769.538;7;; 178.9
1769;1.769.623;8;; 186.4
1769;1.769.707;9;; 193.0
1769;1.769.790;10;; 190.9
1769;1.769.874;11;; 187.5
1769;1.769.958;12;; 186.5
1770;1.770.042;1;; 185.1
1770;1.770.123;2;; 184.9
1770;1.770.204;3;; 182.2
1770;1.770.288;4;; 175.3
1770;1.770.371;5;; 170.4
1770;1.770.455;6;; 168.7
1770;1.770.538;7;; 163.3
1770;1.770.623;8;; 151.9
1770;1.770.707;9;; 142.9
1770;1.770.790;10;; 141.5
1770;1.770.874;11;; 148.2
1770;1.770.958;12;; 156.5
1771;1.771.042;1;; 156.1
1771;1.771.123;2;; 148.4
1771;1.771.204;3;; 143.5
1771;1.771.288;4;; 142.3
1771;1.771.371;5;; 139.1
1771;1.771.455;6;; 136.4
1771;1.771.538;7;; 140.5
1771;1.771.623;8;; 148.1
1771;1.771.707;9;; 150.1
1771;1.771.790;10;; 150.9
1771;1.771.874;11;; 144.8
1771;1.771.958;12;; 132.5
1772;1.772.042;1;; 128.9
1772;1.772.124;2;; 129.4
1772;1.772.206;3;; 125.7
1772;1.772.290;4;; 121.4
1772;1.772.373;5;; 117.9
1772;1.772.456;6;; 113.0
1772;1.772.540;7;; 107.6
1772;1.772.624;8;; 100.1
1772;1.772.708;9;;  97.2
1772;1.772.791;10;;  94.5
1772;1.772.874;11;;  90.6
1772;1.772.958;12;;  88.8
1773;1.773.042;1;;  83.4
1773;1.773.123;2;;  76.9
1773;1.773.204;3;;  72.4
1773;1.773.288;4;;  67.3
1773;1.773.371;5;;  62.3
1773;1.773.455;6;;  59.4
1773;1.773.538;7;;  57.4
1773;1.773.623;8;;  59.4
1773;1.773.707;9;;  62.2
1773;1.773.790;10;;  63.3
1773;1.773.874;11;;  64.8
1773;1.773.958;12;;  65.5
1774;1.774.042;1;;  64.8
1774;1.774.123;2;;  63.7
1774;1.774.204;3;;  61.8
1774;1.774.288;4;;  59.4
1774;1.774.371;5;;  56.9
1774;1.774.455;6;;  53.2
1774;1.774.538;7;;  48.1
1774;1.774.623;8;;  40.6
1774;1.774.707;9;;  33.0
1774;1.774.790;10;;  27.7
1774;1.774.874;11;;  22.1
1774;1.774.958;12;;  17.7
1775;1.775.042;1;;  15.4
1775;1.775.123;2;;  14.4
1775;1.775.204;3;;  14.1
