Jahr;Jahr segment;Monat;;Sonnenflecken
1817;1.817.707;9;;  58.4
1817;1.817.790;10;;  54.0
1817;1.817.874;11;;  56.8
1817;1.817.958;12;;  58.8
1818;1.818.042;1;;  57.0
1818;1.818.123;2;;  54.6
1818;1.818.204;3;;  52.9
1818;1.818.288;4;;  52.6
1818;1.818.371;5;;  51.7
1818;1.818.455;6;;  50.3
1818;1.818.538;7;;  50.0
1818;1.818.623;8;;  49.7
1818;1.818.707;9;;  48.1
1818;1.818.790;10;;  45.6
1818;1.818.874;11;;  42.3
1818;1.818.958;12;;  39.9
1819;1.819.042;1;;  40.0
1819;1.819.123;2;;  39.9
1819;1.819.204;3;;  38.7
1819;1.819.288;4;;  37.6
1819;1.819.371;5;;  38.3
1819;1.819.455;6;;  39.6
1819;1.819.538;7;;  39.0
1819;1.819.623;8;;  38.5
1819;1.819.707;9;;  38.9
1819;1.819.790;10;;  38.9
1819;1.819.874;11;;  39.6
1819;1.819.958;12;;  38.6
1820;1.820.042;1;;  36.1
1820;1.820.124;2;;  35.3
1820;1.820.206;3;;  34.6
1820;1.820.290;4;;  32.7
1820;1.820.373;5;;  30.2
1820;1.820.456;6;;  27.5
1820;1.820.540;7;;  26.2
1820;1.820.624;8;;  24.8
1820;1.820.708;9;;  23.3
1820;1.820.791;10;;  22.7
1820;1.820.874;11;;  20.0
1820;1.820.958;12;;  17.5
1821;1.821.042;1;;  15.6
1821;1.821.123;2;;  12.9
1821;1.821.204;3;;  11.4
1821;1.821.288;4;;  12.0
1821;1.821.371;5;;  12.5
1821;1.821.455;6;;  11.6
1821;1.821.538;7;;   9.5
1821;1.821.623;8;;   7.8
1821;1.821.707;9;;   8.3
1821;1.821.790;10;;   9.3
1821;1.821.874;11;;   9.5
1821;1.821.958;12;;   9.8
1822;1.822.042;1;;  10.4
1822;1.822.123;2;;  10.6
1822;1.822.204;3;;  10.1
1822;1.822.288;4;;   8.5
1822;1.822.371;5;;   6.9
1822;1.822.455;6;;   6.6
1822;1.822.538;7;;   6.6
1822;1.822.623;8;;   6.5
1822;1.822.707;9;;   5.4
1822;1.822.790;10;;   3.4
1822;1.822.874;11;;   2.4
1822;1.822.958;12;;   1.9
1823;1.823.042;1;;   1.0
1823;1.823.123;2;;   0.3
1823;1.823.204;3;;   0.2
1823;1.823.288;4;;   0.2
1823;1.823.371;5;;   0.2
1823;1.823.455;6;;   1.6
1823;1.823.538;7;;   4.5
1823;1.823.623;8;;   6.7
1823;1.823.707;9;;   7.4
1823;1.823.790;10;;   8.7
1823;1.823.874;11;;  10.3
1823;1.823.958;12;;  10.5
1824;1.824.042;1;;  10.4
1824;1.824.124;2;;  10.5
1824;1.824.206;3;;  12.0
1824;1.824.290;4;;  15.2
1824;1.824.373;5;;  17.0
1824;1.824.456;6;;  15.6
1824;1.824.540;7;;  13.1
1824;1.824.624;8;;  12.3
1824;1.824.708;9;;  14.2
1824;1.824.791;10;;  14.6
1824;1.824.874;11;;  14.4
1824;1.824.958;12;;  16.4
1825;1.825.042;1;;  19.6
1825;1.825.123;2;;  23.4
1825;1.825.204;3;;  24.8
1825;1.825.288;4;;  23.8
1825;1.825.371;5;;  23.9
1825;1.825.455;6;;  26.2
1825;1.825.538;7;;  28.6
1825;1.825.623;8;;  29.6
1825;1.825.707;9;;  30.8
1825;1.825.790;10;;  33.2
1825;1.825.874;11;;  35.8
1825;1.825.958;12;;  38.4
1826;1.826.042;1;;  41.4
1826;1.826.123;2;;  43.9
1826;1.826.204;3;;  45.1
1826;1.826.288;4;;  47.8
1826;1.826.371;5;;  52.1
1826;1.826.455;6;;  57.2
1826;1.826.538;7;;  61.6
1826;1.826.623;8;;  64.8
1826;1.826.707;9;;  68.3
1826;1.826.790;10;;  71.3
1826;1.826.874;11;;  74.5
1826;1.826.958;12;;  77.5
1827;1.827.042;1;;  78.2
1827;1.827.123;2;;  78.5
1827;1.827.204;3;;  81.6
1827;1.827.288;4;;  84.1
1827;1.827.371;5;;  85.0
1827;1.827.455;6;;  84.1
1827;1.827.538;7;;  83.8
1827;1.827.623;8;;  86.3
1827;1.827.707;9;;  88.0
1827;1.827.790;10;;  89.5
1827;1.827.874;11;;  92.9
1827;1.827.958;12;;  98.0
1828;1.828.042;1;; 101.7
1828;1.828.124;2;; 104.1
1828;1.828.206;3;; 105.8
1828;1.828.290;4;; 105.7
1828;1.828.373;5;; 106.2
1828;1.828.456;6;; 106.9
1828;1.828.540;7;; 106.3
1828;1.828.624;8;; 104.6
1828;1.828.708;9;; 104.0
1828;1.828.791;10;; 106.9
1828;1.828.874;11;; 107.7
1828;1.828.958;12;; 104.5
1829;1.829.042;1;; 105.4
1829;1.829.123;2;; 108.0
1829;1.829.204;3;; 108.3
1829;1.829.288;4;; 108.6
1829;1.829.371;5;; 109.5
1829;1.829.455;6;; 110.9
1829;1.829.538;7;; 112.3
1829;1.829.623;8;; 114.5
1829;1.829.707;9;; 116.9
1829;1.829.790;10;; 118.5
1829;1.829.874;11;; 119.2
1829;1.829.958;12;; 118.6
1830;1.830.042;1;; 114.7
1830;1.830.123;2;; 109.5
1830;1.830.204;3;; 108.3
1830;1.830.288;4;; 110.9
1830;1.830.371;5;; 113.7
1830;1.830.455;6;; 116.4
1830;1.830.538;7;; 117.9
1830;1.830.623;8;; 116.0
1830;1.830.707;9;; 115.1
1830;1.830.790;10;; 112.1
1830;1.830.874;11;; 106.6
1830;1.830.958;12;; 102.4
1831;1.831.042;1;; 100.3
1831;1.831.123;2;; 100.7
1831;1.831.204;3;;  99.3
1831;1.831.288;4;;  95.0
1831;1.831.371;5;;  89.7
1831;1.831.455;6;;  83.4
1831;1.831.538;7;;  78.6
1831;1.831.623;8;;  77.8
1831;1.831.707;9;;  75.5
1831;1.831.790;10;;  70.9
1831;1.831.874;11;;  69.2
1831;1.831.958;12;;  69.0
1832;1.832.042;1;;  66.4
1832;1.832.124;2;;  61.0
1832;1.832.206;3;;  55.7
1832;1.832.290;4;;  51.9
1832;1.832.373;5;;  48.1
1832;1.832.456;6;;  46.0
1832;1.832.540;7;;  44.5
1832;1.832.624;8;;  40.3
1832;1.832.708;9;;  34.5
1832;1.832.791;10;;  29.8
1832;1.832.874;11;;  26.2
1832;1.832.958;12;;  22.4
1833;1.833.042;1;;  20.1
1833;1.833.123;2;;  19.4
1833;1.833.204;3;;  19.5
1833;1.833.288;4;;  18.7
1833;1.833.371;5;;  17.2
1833;1.833.455;6;;  15.4
1833;1.833.538;7;;  13.8
1833;1.833.623;8;;  13.5
1833;1.833.707;9;;  13.2
1833;1.833.790;10;;  12.6
1833;1.833.874;11;;  12.2
1833;1.833.958;12;;  12.4
1834;1.834.042;1;;  13.0
1834;1.834.123;2;;  13.0
1834;1.834.204;3;;  12.9
1834;1.834.288;4;;  14.1
1834;1.834.371;5;;  17.0
1834;1.834.455;6;;  20.4
1834;1.834.538;7;;  22.3
1834;1.834.623;8;;  22.9
1834;1.834.707;9;;  24.4
1834;1.834.790;10;;  29.7
1834;1.834.874;11;;  36.2
1834;1.834.958;12;;  40.4
1835;1.835.042;1;;  45.7
1835;1.835.123;2;;  53.1
1835;1.835.204;3;;  63.1
1835;1.835.288;4;;  74.2
1835;1.835.371;5;;  83.9
1835;1.835.455;6;;  91.7
1835;1.835.538;7;; 100.4
1835;1.835.623;8;; 111.8
1835;1.835.707;9;; 123.0
1835;1.835.790;10;; 134.1
1835;1.835.874;11;; 144.5
1835;1.835.958;12;; 155.6
1836;1.836.042;1;; 165.9
1836;1.836.124;2;; 173.2
1836;1.836.206;3;; 176.2
1836;1.836.290;4;; 178.7
1836;1.836.373;5;; 183.1
1836;1.836.456;6;; 193.5
1836;1.836.540;7;; 209.3
1836;1.836.624;8;; 221.0
1836;1.836.708;9;; 228.2
1836;1.836.791;10;; 230.4
1836;1.836.874;11;; 230.1
1836;1.836.958;12;; 232.4
1837;1.837.042;1;; 237.9
1837;1.837.123;2;; 243.0
1837;1.837.204;3;; 244.9
1837;1.837.288;4;; 244.0
1837;1.837.371;5;; 242.1
1837;1.837.455;6;; 235.8
1837;1.837.538;7;; 227.5
1837;1.837.623;8;; 218.2
1837;1.837.707;9;; 212.3
1837;1.837.790;10;; 211.9
1837;1.837.874;11;; 212.9
1837;1.837.958;12;; 210.3
1838;1.838.042;1;; 202.1
1838;1.838.123;2;; 194.5
1838;1.838.204;3;; 189.1
1838;1.838.288;4;; 185.3
1838;1.838.371;5;; 180.9
1838;1.838.455;6;; 175.4
1838;1.838.538;7;; 169.2
1838;1.838.623;8;; 167.7
1838;1.838.707;9;; 164.6
1838;1.838.790;10;; 155.7
1838;1.838.874;11;; 145.4
1838;1.838.958;12;; 136.8
1839;1.839.042;1;; 132.4
1839;1.839.123;2;; 134.4
1839;1.839.204;3;; 142.1
1839;1.839.288;4;; 146.2
1839;1.839.371;5;; 145.6
1839;1.839.455;6;; 143.9
1839;1.839.538;7;; 141.1
1839;1.839.623;8;; 138.4
1839;1.839.707;9;; 136.7
1839;1.839.790;10;; 136.3
1839;1.839.874;11;; 137.6
1839;1.839.958;12;; 138.3
1840;1.840.042;1;; 136.2
1840;1.840.124;2;; 129.4
1840;1.840.206;3;; 120.2
1840;1.840.290;4;; 113.6
1840;1.840.373;5;; 110.1
1840;1.840.456;6;; 108.4
1840;1.840.540;7;; 103.8
1840;1.840.624;8;;  95.8
1840;1.840.708;9;;  89.1
1840;1.840.791;10;;  84.7
1840;1.840.874;11;;  82.8
1840;1.840.958;12;;  83.2
1841;1.841.042;1;;  81.6
1841;1.841.123;2;;  78.2
1841;1.841.204;3;;  74.4
1841;1.841.288;4;;  69.9
1841;1.841.371;5;;  65.7
1841;1.841.455;6;;  62.2
1841;1.841.538;7;;  61.0
1841;1.841.623;8;;  60.2
1841;1.841.707;9;;  59.0
1841;1.841.790;10;;  57.6
1841;1.841.874;11;;  53.7
1841;1.841.958;12;;  48.3
1842;1.842.042;1;;  44.6
1842;1.842.123;2;;  42.4
1842;1.842.204;3;;  40.3
1842;1.842.288;4;;  39.7
1842;1.842.371;5;;  41.8
1842;1.842.455;6;;  41.8
1842;1.842.538;7;;  39.8
1842;1.842.623;8;;  38.0
1842;1.842.707;9;;  35.8
1842;1.842.790;10;;  33.7
1842;1.842.874;11;;  32.2
1842;1.842.958;12;;  31.3
1843;1.843.042;1;;  30.4
1843;1.843.123;2;;  29.1
1843;1.843.204;3;;  27.1
1843;1.843.288;4;;  23.8
1843;1.843.371;5;;  20.1
1843;1.843.455;6;;  18.2
1843;1.843.538;7;;  17.6
1843;1.843.623;8;;  18.1
1843;1.843.707;9;;  19.3
1843;1.843.790;10;;  20.4
1843;1.843.874;11;;  20.5
1843;1.843.958;12;;  19.4
1844;1.844.042;1;;  19.7
1844;1.844.124;2;;  21.4
1844;1.844.206;3;;  22.4
1844;1.844.290;4;;  23.7
1844;1.844.373;5;;  24.3
1844;1.844.456;6;;  24.3
1844;1.844.540;7;;  26.0
1844;1.844.624;8;;  29.2
1844;1.844.708;9;;  33.3
1844;1.844.791;10;;  37.9
1844;1.844.874;11;;  42.9
1844;1.844.958;12;;  47.3
1845;1.845.042;1;;  49.9
1845;1.845.123;2;;  51.1
1845;1.845.204;3;;  53.3
1845;1.845.288;4;;  56.2
1845;1.845.371;5;;  59.5
1845;1.845.455;6;;  64.1
1845;1.845.538;7;;  67.7
1845;1.845.623;8;;  69.1
1845;1.845.707;9;;  71.0
1845;1.845.790;10;;  73.3
1845;1.845.874;11;;  75.0
1845;1.845.958;12;;  78.2
1846;1.846.042;1;;  81.7
1846;1.846.123;2;;  84.4
1846;1.846.204;3;;  91.3
1846;1.846.288;4;;  97.8
1846;1.846.371;5;; 100.3
1846;1.846.455;6;; 102.1
1846;1.846.538;7;; 104.2
1846;1.846.623;8;; 105.4
1846;1.846.707;9;; 106.5
1846;1.846.790;10;; 106.3
1846;1.846.874;11;; 105.7
1846;1.846.958;12;; 108.2
1847;1.847.042;1;; 110.0
1847;1.847.123;2;; 116.4
1847;1.847.204;3;; 126.1
1847;1.847.288;4;; 138.4
1847;1.847.371;5;; 152.5
1847;1.847.455;6;; 161.0
1847;1.847.538;7;; 170.8
1847;1.847.623;8;; 182.1
1847;1.847.707;9;; 188.4
1847;1.847.790;10;; 194.3
1847;1.847.874;11;; 200.5
1847;1.847.958;12;; 205.4
1848;1.848.042;1;; 214.5
1848;1.848.124;2;; 219.9
1848;1.848.206;3;; 215.2
1848;1.848.290;4;; 207.6
1848;1.848.373;5;; 202.6
1848;1.848.456;6;; 204.4
1848;1.848.540;7;; 209.2
1848;1.848.624;8;; 213.3
1848;1.848.708;9;; 216.0
1848;1.848.791;10;; 216.7
1848;1.848.874;11;; 216.7
1848;1.848.958;12;; 213.4
1849;1.849.042;1;; 207.4
1849;1.849.123;2;; 200.1
1849;1.849.204;3;; 196.7
1849;1.849.288;4;; 193.6
1849;1.849.371;5;; 189.9
1849;1.849.455;6;; 186.4
1849;1.849.538;7;; 176.8
1849;1.849.623;8;; 167.2
1849;1.849.707;9;; 162.7
1849;1.849.790;10;; 157.0
1849;1.849.874;11;; 150.9
1849;1.849.958;12;; 148.5
1850;1.850.042;1;; 144.6
1850;1.850.123;2;; 141.0
1850;1.850.204;3;; 139.9
1850;1.850.288;4;; 139.3
1850;1.850.371;5;; 135.7
1850;1.850.455;6;; 129.4
1850;1.850.538;7;; 126.3
1850;1.850.623;8;; 127.4
1850;1.850.707;9;; 127.3
1850;1.850.790;10;; 126.8
1850;1.850.874;11;; 127.9
1850;1.850.958;12;; 127.4
1851;1.851.042;1;; 126.6
1851;1.851.123;2;; 126.1
1851;1.851.204;3;; 124.3
1851;1.851.288;4;; 122.2
1851;1.851.371;5;; 121.2
1851;1.851.455;6;; 121.7
1851;1.851.538;7;; 121.9
1851;1.851.623;8;; 118.3
1851;1.851.707;9;; 114.9
1851;1.851.790;10;; 115.4
1851;1.851.874;11;; 115.5
1851;1.851.958;12;; 113.6
1852;1.852.042;1;; 112.8
1852;1.852.124;2;; 111.8
1852;1.852.206;3;; 108.0
1852;1.852.290;4;; 106.0
1852;1.852.373;5;; 106.6
1852;1.852.456;6;; 104.8
1852;1.852.540;7;; 100.6
1852;1.852.624;8;;  96.6
1852;1.852.708;9;;  92.9
1852;1.852.791;10;;  89.6
1852;1.852.874;11;;  86.6
1852;1.852.958;12;;  84.5
1853;1.853.042;1;;  84.2
1853;1.853.123;2;;  85.4
1853;1.853.204;3;;  85.9
1853;1.853.288;4;;  83.6
1853;1.853.371;5;;  79.6
1853;1.853.455;6;;  75.9
1853;1.853.538;7;;  72.1
1853;1.853.623;8;;  68.3
1853;1.853.707;9;;  65.1
1853;1.853.790;10;;  62.1
1853;1.853.874;11;;  59.6
1853;1.853.958;12;;  57.3
1854;1.854.042;1;;  53.6
1854;1.854.123;2;;  48.7
1854;1.854.204;3;;  45.1
1854;1.854.288;4;;  41.9
1854;1.854.371;5;;  39.5
1854;1.854.455;6;;  39.3
1854;1.854.538;7;;  38.9
1854;1.854.623;8;;  38.0
1854;1.854.707;9;;  37.0
1854;1.854.790;10;;  35.0
1854;1.854.874;11;;  32.1
1854;1.854.958;12;;  29.6
1855;1.855.042;1;;  26.9
1855;1.855.123;2;;  24.5
1855;1.855.204;3;;  21.7
1855;1.855.288;4;;  19.7
1855;1.855.371;5;;  17.5
1855;1.855.455;6;;  14.2
1855;1.855.538;7;;  11.8
1855;1.855.623;8;;  10.3
1855;1.855.707;9;;   8.5
1855;1.855.790;10;;   7.3
1855;1.855.874;11;;   6.7
1855;1.855.958;12;;   6.0
1856;1.856.042;1;;   6.3
1856;1.856.124;2;;   6.9
1856;1.856.206;3;;   7.5
1856;1.856.290;4;;   7.4
1856;1.856.373;5;;   7.3
1856;1.856.456;6;;   7.9
1856;1.856.540;7;;   9.3
1856;1.856.624;8;;  10.5
1856;1.856.708;9;;  11.1
1856;1.856.791;10;;  11.8
1856;1.856.874;11;;  14.5
1856;1.856.958;12;;  17.6
1857;1.857.042;1;;  19.8
1857;1.857.123;2;;  22.1
1857;1.857.204;3;;  26.0
1857;1.857.288;4;;  31.8
1857;1.857.371;5;;  36.6
1857;1.857.455;6;;  40.8
1857;1.857.538;7;;  45.2
1857;1.857.623;8;;  49.4
1857;1.857.707;9;;  55.7
1857;1.857.790;10;;  62.0
1857;1.857.874;11;;  65.1
1857;1.857.958;12;;  68.4
1858;1.858.042;1;;  73.4
1858;1.858.123;2;;  79.1
1858;1.858.204;3;;  85.2
1858;1.858.288;4;;  92.2
1858;1.858.371;5;;  97.8
1858;1.858.455;6;; 101.8
1858;1.858.538;7;; 107.6
1858;1.858.623;8;; 115.3
1858;1.858.707;9;; 122.1
1858;1.858.790;10;; 128.5
1858;1.858.874;11;; 136.1
1858;1.858.958;12;; 143.4
1859;1.859.042;1;; 149.8
1859;1.859.123;2;; 157.0
1859;1.859.204;3;; 163.1
1859;1.859.288;4;; 167.0
1859;1.859.371;5;; 172.4
1859;1.859.455;6;; 177.1
1859;1.859.538;7;; 178.1
1859;1.859.623;8;; 178.1
1859;1.859.707;9;; 178.8
1859;1.859.790;10;; 178.4
1859;1.859.874;11;; 178.5
1859;1.859.958;12;; 181.5
1860;1.860.042;1;; 185.0
1860;1.860.124;2;; 186.2
1860;1.860.206;3;; 184.6
1860;1.860.290;4;; 181.5
1860;1.860.373;5;; 179.7
1860;1.860.456;6;; 180.9
1860;1.860.540;7;; 180.4
1860;1.860.624;8;; 178.0
1860;1.860.708;9;; 177.3
1860;1.860.791;10;; 179.6
1860;1.860.874;11;; 177.8
1860;1.860.958;12;; 172.2
1861;1.861.042;1;; 167.5
1861;1.861.123;2;; 163.0
1861;1.861.204;3;; 160.6
1861;1.861.288;4;; 157.9
1861;1.861.371;5;; 152.6
1861;1.861.455;6;; 147.8
1861;1.861.538;7;; 146.7
1861;1.861.623;8;; 145.7
1861;1.861.707;9;; 140.1
1861;1.861.790;10;; 132.0
1861;1.861.874;11;; 129.1
1861;1.861.958;12;; 129.4
1862;1.862.042;1;; 128.7
1862;1.862.123;2;; 126.7
1862;1.862.204;3;; 124.1
1862;1.862.288;4;; 121.0
1862;1.862.371;5;; 118.8
1862;1.862.455;6;; 115.4
1862;1.862.538;7;; 111.1
1862;1.862.623;8;; 109.3
1862;1.862.707;9;; 110.5
1862;1.862.790;10;; 111.3
1862;1.862.874;11;; 109.4
1862;1.862.958;12;; 105.1
1863;1.863.042;1;;  98.5
1863;1.863.123;2;;  94.1
1863;1.863.204;3;;  89.4
1863;1.863.288;4;;  85.7
1863;1.863.371;5;;  84.5
1863;1.863.455;6;;  83.5
1863;1.863.538;7;;  84.3
1863;1.863.623;8;;  84.3
1863;1.863.707;9;;  83.5
1863;1.863.790;10;;  83.1
1863;1.863.874;11;;  81.7
1863;1.863.958;12;;  82.0
1864;1.864.042;1;;  85.1
1864;1.864.124;2;;  87.4
1864;1.864.206;3;;  88.5
1864;1.864.290;4;;  88.5
1864;1.864.373;5;;  89.6
1864;1.864.456;6;;  90.2
1864;1.864.540;7;;  88.5
1864;1.864.624;8;;  87.1
1864;1.864.708;9;;  84.4
1864;1.864.791;10;;  81.8
1864;1.864.874;11;;  80.8
1864;1.864.958;12;;  78.4
1865;1.865.042;1;;  74.3
1865;1.865.123;2;;  70.7
1865;1.865.204;3;;  68.8
1865;1.865.288;4;;  66.9
1865;1.865.371;5;;  63.0
1865;1.865.455;6;;  59.1
1865;1.865.538;7;;  56.5
1865;1.865.623;8;;  55.1
1865;1.865.707;9;;  53.8
1865;1.865.790;10;;  51.7
1865;1.865.874;11;;  49.1
1865;1.865.958;12;;  46.0
1866;1.866.042;1;;  43.3
1866;1.866.123;2;;  39.9
1866;1.866.204;3;;  36.8
1866;1.866.288;4;;  35.4
1866;1.866.371;5;;  34.0
1866;1.866.455;6;;  31.9
1866;1.866.538;7;;  28.5
1866;1.866.623;8;;  23.0
1866;1.866.707;9;;  18.8
1866;1.866.790;10;;  16.6
1866;1.866.874;11;;  14.8
1866;1.866.958;12;;  12.8
1867;1.867.042;1;;  11.3
1867;1.867.123;2;;  10.3
1867;1.867.204;3;;   9.9
1867;1.867.288;4;;  10.0
1867;1.867.371;5;;  10.0
1867;1.867.455;6;;  11.9
1867;1.867.538;7;;  14.9
1867;1.867.623;8;;  17.0
1867;1.867.707;9;;  19.1
1867;1.867.790;10;;  22.4
1867;1.867.874;11;;  26.2
1867;1.867.958;12;;  29.8
1868;1.868.042;1;;  33.5
1868;1.868.124;2;;  37.1
1868;1.868.206;3;;  41.6
1868;1.868.290;4;;  47.3
1868;1.868.373;5;;  53.9
1868;1.868.456;6;;  60.0
1868;1.868.540;7;;  65.8
1868;1.868.624;8;;  72.1
1868;1.868.708;9;;  77.0
1868;1.868.791;10;;  79.1
1868;1.868.874;11;;  84.8
1868;1.868.958;12;;  95.5
1869;1.869.042;1;; 103.0
1869;1.869.123;2;; 108.2
1869;1.869.204;3;; 113.7
1869;1.869.288;4;; 115.9
1869;1.869.371;5;; 117.0
1869;1.869.455;6;; 120.9
1869;1.869.538;7;; 124.6
1869;1.869.623;8;; 129.5
1869;1.869.707;9;; 140.7
1869;1.869.790;10;; 156.2
1869;1.869.874;11;; 169.5
1869;1.869.958;12;; 176.4
1870;1.870.042;1;; 183.4
1870;1.870.123;2;; 193.6
1870;1.870.204;3;; 202.6
1870;1.870.288;4;; 212.5
1870;1.870.371;5;; 223.4
1870;1.870.455;6;; 230.0
1870;1.870.538;7;; 232.5
1870;1.870.623;8;; 234.0
1870;1.870.707;9;; 233.7
1870;1.870.790;10;; 232.9
1870;1.870.874;11;; 231.0
1870;1.870.958;12;; 225.8
1871;1.871.042;1;; 220.7
1871;1.871.123;2;; 215.6
1871;1.871.204;3;; 208.7
1871;1.871.288;4;; 200.8
1871;1.871.371;5;; 193.9
1871;1.871.455;6;; 188.2
1871;1.871.538;7;; 184.9
1871;1.871.623;8;; 183.9
1871;1.871.707;9;; 179.7
1871;1.871.790;10;; 171.8
1871;1.871.874;11;; 164.9
1871;1.871.958;12;; 163.6
1872;1.872.042;1;; 165.0
1872;1.872.124;2;; 164.0
1872;1.872.206;3;; 165.2
1872;1.872.290;4;; 168.5
1872;1.872.373;5;; 169.9
1872;1.872.456;6;; 169.9
1872;1.872.540;7;; 170.0
1872;1.872.624;8;; 169.6
1872;1.872.708;9;; 169.3
1872;1.872.791;10;; 168.2
1872;1.872.874;11;; 162.3
1872;1.872.958;12;; 153.6
1873;1.873.042;1;; 146.4
1873;1.873.123;2;; 142.0
1873;1.873.204;3;; 135.6
1873;1.873.288;4;; 127.1
1873;1.873.371;5;; 119.3
1873;1.873.455;6;; 112.9
1873;1.873.538;7;; 108.7
1873;1.873.623;8;; 103.9
1873;1.873.707;9;;  97.4
1873;1.873.790;10;;  90.7
1873;1.873.874;11;;  87.4
1873;1.873.958;12;;  86.7
1874;1.874.042;1;;  86.3
1874;1.874.123;2;;  85.9
1874;1.874.204;3;;  84.1
1874;1.874.288;4;;  81.9
1874;1.874.371;5;;  79.2
1874;1.874.455;6;;  75.9
1874;1.874.538;7;;  71.3
1874;1.874.623;8;;  65.2
1874;1.874.707;9;;  61.3
1874;1.874.790;10;;  60.2
1874;1.874.874;11;;  57.7
1874;1.874.958;12;;  54.4
1875;1.875.042;1;;  49.6
1875;1.875.123;2;;  42.5
1875;1.875.204;3;;  37.5
1875;1.875.288;4;;  34.2
1875;1.875.371;5;;  31.9
1875;1.875.455;6;;  29.8
1875;1.875.538;7;;  28.4
1875;1.875.623;8;;  27.9
1875;1.875.707;9;;  27.3
1875;1.875.790;10;;  25.2
1875;1.875.874;11;;  22.9
1875;1.875.958;12;;  20.9
1876;1.876.042;1;;  19.5
1876;1.876.124;2;;  19.3
1876;1.876.206;3;;  19.4
1876;1.876.290;4;;  20.1
1876;1.876.373;5;;  19.6
1876;1.876.456;6;;  19.0
1876;1.876.540;7;;  19.5
1876;1.876.624;8;;  19.8
1876;1.876.708;9;;  18.1
1876;1.876.791;10;;  17.7
1876;1.876.874;11;;  19.8
1876;1.876.958;12;;  21.8
1877;1.877.042;1;;  22.0
1877;1.877.123;2;;  21.2
1877;1.877.204;3;;  21.5
1877;1.877.288;4;;  21.4
1877;1.877.371;5;;  21.2
1877;1.877.455;6;;  21.1
1877;1.877.538;7;;  19.2
1877;1.877.623;8;;  17.6
1877;1.877.707;9;;  17.2
1877;1.877.790;10;;  15.8
1877;1.877.874;11;;  13.6
1877;1.877.958;12;;  12.0
1878;1.878.042;1;;  11.0
1878;1.878.123;2;;  10.2
1878;1.878.204;3;;   8.9
1878;1.878.288;4;;   7.8
1878;1.878.371;5;;   6.7
1878;1.878.455;6;;   5.9
1878;1.878.538;7;;   5.6
1878;1.878.623;8;;   5.0
1878;1.878.707;9;;   4.0
1878;1.878.790;10;;   3.9
1878;1.878.874;11;;   4.1
1878;1.878.958;12;;   3.7
1879;1.879.042;1;;   4.1
1879;1.879.123;2;;   5.4
1879;1.879.204;3;;   6.2
1879;1.879.288;4;;   7.0
1879;1.879.371;5;;   8.4
1879;1.879.455;6;;   9.5
1879;1.879.538;7;;  11.6
1879;1.879.623;8;;  15.1
1879;1.879.707;9;;  18.3
1879;1.879.790;10;;  20.5
1879;1.879.874;11;;  22.9
1879;1.879.958;12;;  26.4
1880;1.880.042;1;;  29.4
1880;1.880.124;2;;  33.0
1880;1.880.206;3;;  39.8
1880;1.880.290;4;;  46.1
1880;1.880.373;5;;  49.4
1880;1.880.456;6;;  52.2
1880;1.880.540;7;;  54.6
1880;1.880.624;8;;  57.3
1880;1.880.708;9;;  61.3
1880;1.880.791;10;;  65.8
1880;1.880.874;11;;  69.4
1880;1.880.958;12;;  72.6
1881;1.881.042;1;;  78.3
1881;1.881.123;2;;  82.8
1881;1.881.204;3;;  82.6
1881;1.881.288;4;;  83.2
1881;1.881.371;5;;  86.4
1881;1.881.455;6;;  89.3
1881;1.881.538;7;;  91.1
1881;1.881.623;8;;  92.8
1881;1.881.707;9;;  95.1
1881;1.881.790;10;;  99.2
1881;1.881.874;11;; 103.7
1881;1.881.958;12;; 104.1
1882;1.882.042;1;; 100.8
1882;1.882.123;2;;  97.4
1882;1.882.204;3;;  96.5
1882;1.882.288;4;;  96.4
1882;1.882.371;5;;  98.1
1882;1.882.455;6;;  99.8
1882;1.882.538;7;; 100.5
1882;1.882.623;8;; 100.0
1882;1.882.707;9;;  96.7
1882;1.882.790;10;;  94.1
1882;1.882.874;11;;  90.9
1882;1.882.958;12;;  90.8
1883;1.883.042;1;;  95.4
1883;1.883.123;2;;  98.2
1883;1.883.204;3;;  98.2
1883;1.883.288;4;;  99.6
1883;1.883.371;5;; 101.3
1883;1.883.455;6;; 103.7
1883;1.883.538;7;; 108.2
1883;1.883.623;8;; 113.1
1883;1.883.707;9;; 119.0
1883;1.883.790;10;; 121.7
1883;1.883.874;11;; 123.7
1883;1.883.958;12;; 124.4
1884;1.884.042;1;; 120.8
1884;1.884.124;2;; 119.5
1884;1.884.206;3;; 120.9
1884;1.884.290;4;; 119.0
1884;1.884.373;5;; 113.2
1884;1.884.456;6;; 107.8
1884;1.884.540;7;; 102.5
1884;1.884.624;8;;  98.0
1884;1.884.708;9;;  94.4
1884;1.884.791;10;;  90.3
1884;1.884.874;11;;  89.3
1884;1.884.958;12;;  92.0
1885;1.885.042;1;;  95.1
1885;1.885.123;2;;  95.7
1885;1.885.204;3;;  93.7
1885;1.885.288;4;;  91.6
1885;1.885.371;5;;  90.5
1885;1.885.455;6;;  88.4
1885;1.885.538;7;;  85.7
1885;1.885.623;8;;  81.6
1885;1.885.707;9;;  79.0
1885;1.885.790;10;;  78.7
1885;1.885.874;11;;  75.0
1885;1.885.958;12;;  68.2
1886;1.886.042;1;;  61.7
1886;1.886.123;2;;  56.9
